region,total,venezuela,peru,colombia,bolivia,haiti
Arica y Parinacota,226068,166,7427,969,7777,3
Tarapacá,330558,600,13377,3710,19375,127
Antofagasta,607534,972,11126,19211,24063,14
Atacama,286168,273,1473,2102,2819,53
Coquimbo,757586,1087,2303,3349,1307,723
Valparaíso,18159023816,3888,4473,1788,3351
Metropolitana,7112808,69446,143243,62330,14478,54058
O'Higgins,914555,1642,1356,2022,866,1715
Maule,1044950,1640,665,1348,341,1503
Ñuble,480609,386,269,403,137,389
Biobío,1556805,1378,1093,1518,303,131
La Araucanía,957224,575,485,762,156,258
Los Ríos,384837,197,138,384,85,57
Los Lagos,828708,567,516,1264,140,193
Aysén,103158,49,93,353,21,35
Magallanes y la Antártica Chilena,166533,204,160,1169,66,27
