pais, continente, total, hombre, mujer
Perú, América, 223923, 107735, 116188   
Colombia, América, 146582, 69339, 77243   
Venezuela, América, 288233, 149544, 138689   
Bolivia, América, 107346, 48830, 58517   
Argentina, América, 74713, 37607, 37106   
Haití, América, 179338, 115512, 63825   
Ecuador, América, 36994, 18130, 18864   
España, Europa, 21147, 11759, 9388   
Brasil, América, 18185, 8142, 10042   
EE.UU, América, 16337, 8233, 8104   
República Dominicana, América, 17959, 7277, 10682   
China, Asia, 13528, 7796, 5732   
Cuba, América, 15837, 9279, 6558   
México, América, 8975, 4285, 4689   
Alemania, Europa, 8515, 4057, 4458
